species,anchor
E.coli,2-Phosphoglycerate
E.coli,3-Phosphoglycerate
E.coli,6-Phosphogluconate
E.coli,ADP
E.coli,AMP
E.coli,ATP
E.coli,Acetyl-CoA
E.coli,Acetylphosphate
E.coli,Aconitate
E.coli,Alanine
E.coli,Arginine
E.coli,Asparagine
E.coli,Aspartate
E.coli,CMP
E.coli,CTP
E.coli,Citrate
E.coli,Citrulline
E.coli,CoA
E.coli,DHAP
E.coli,Erythrose-4-phosphate
E.coli,FAD
E.coli,"Fructose-1,6-bisphosphate"
E.coli,Fructose-6-phosphate
E.coli,Fumarate
E.coli,GDP
E.coli,GMP
E.coli,GTP
E.coli,Glucose-6-phosphate
E.coli,Glutamate
E.coli,Glutamine
E.coli,Glutathione
E.coli,Glutathione-disulfide
E.coli,Glyceraldehyde-3-phosphate
E.coli,Glycerol-3-phosphate
E.coli,Histidine
E.coli,IMP
E.coli,Indole
E.coli,Isocitrate
E.coli,Isoleucine
E.coli,Leucine
E.coli,Lysine
E.coli,Malate
E.coli,Malonyl-CoA
E.coli,Methionine
E.coli,NAD+
E.coli,NADH
E.coli,NADP+
E.coli,NADPH
E.coli,Ornithine
E.coli,Oxaloacetate
E.coli,Phenylalanine
E.coli,Phosphoenolpyruvate
E.coli,Proline
E.coli,Pyruvate
E.coli,Ribose-5-phosphate
E.coli,Ribulose-5-phosphate
E.coli,Sedoheptulose-7-phosphate
E.coli,Serine
E.coli,Succinate
E.coli,Succinyl-CoA
E.coli,Threonine
E.coli,Tryptophan
E.coli,Tyrosine
E.coli,UDP
E.coli,UDP-glucose
E.coli,UTP
E.coli,Valine
E.coli,alpha-Ketoglutarate
E.coli,c-di-GMP
E.coli,cAMP
E.coli,cGMP
E.coli,ppGpp
Mammalian,2-Phosphoglycerate
Mammalian,3-Phosphoglycerate
Mammalian,6-Phosphogluconate
Mammalian,ADP
Mammalian,AMP
Mammalian,ATP
Mammalian,Acetyl-CoA
Mammalian,Aconitate
Mammalian,Alanine
Mammalian,Arginine
Mammalian,Asparagine
Mammalian,Aspartate
Mammalian,CMP
Mammalian,CTP
Mammalian,Citrate
Mammalian,DHAP
Mammalian,Erythrose-4-phosphate
Mammalian,FAD
Mammalian,"Fructose-1,6-bisphosphate"
Mammalian,Fructose-6-phosphate
Mammalian,Fumarate
Mammalian,GDP
Mammalian,GMP
Mammalian,GTP
Mammalian,Glucose-6-phosphate
Mammalian,Glutamate
Mammalian,Glutamine
Mammalian,Glutathione
Mammalian,Glutathione-disulfide
Mammalian,Glyceraldehyde-3-phosphate
Mammalian,Glycine
Mammalian,Histidine
Mammalian,IMP
Mammalian,Isocitrate
Mammalian,Isoleucine
Mammalian,Leucine
Mammalian,Lysine
Mammalian,Malate
Mammalian,Malonyl-CoA
Mammalian,Methionine
Mammalian,NAD+
Mammalian,NADH
Mammalian,NADP+
Mammalian,NADPH
Mammalian,Phenylalanine
Mammalian,Phosphoenolpyruvate
Mammalian,Proline
Mammalian,Pyruvate
Mammalian,Ribose-5-phosphate
Mammalian,Ribulose-5-phosphate
Mammalian,Sedoheptulose-7-phosphate
Mammalian,Serine
Mammalian,Succinate
Mammalian,Threonine
Mammalian,Tryptophan
Mammalian,Tyrosine
Mammalian,UDP
Mammalian,UDP-glucose
Mammalian,UMP
Mammalian,UTP
Mammalian,Valine
Mammalian,alpha-Ketoglutarate
Mammalian,cAMP
Yeast,2-Phosphoglycerate
Yeast,3-Phosphoglycerate
Yeast,6-Phosphogluconate
Yeast,ADP
Yeast,AMP
Yeast,ATP
Yeast,Acetyl-CoA
Yeast,Alanine
Yeast,Arginine
Yeast,Asparagine
Yeast,Aspartate
Yeast,CMP
Yeast,CTP
Yeast,Citrate
Yeast,Citrulline
Yeast,DHAP
Yeast,Erythrose-4-phosphate
Yeast,FAD
Yeast,"Fructose-1,6-bisphosphate"
Yeast,Fructose-6-phosphate
Yeast,Fumarate
Yeast,GDP
Yeast,GMP
Yeast,GTP
Yeast,Glucose-6-phosphate
Yeast,Glutamate
Yeast,Glutamine
Yeast,Glutathione
Yeast,Glutathione-disulfide
Yeast,Glyceraldehyde-3-phosphate
Yeast,Glycerol-3-phosphate
Yeast,IMP
Yeast,Isocitrate
Yeast,Isoleucine
Yeast,Leucine
Yeast,Lysine
Yeast,Malate
Yeast,Methionine
Yeast,NAD+
Yeast,NADH
Yeast,NADP+
Yeast,NADPH
Yeast,Ornithine
Yeast,Phenylalanine
Yeast,Phosphoenolpyruvate
Yeast,Proline
Yeast,Pyruvate
Yeast,Ribose-5-phosphate
Yeast,Ribulose-5-phosphate
Yeast,Sedoheptulose-7-phosphate
Yeast,Serine
Yeast,Succinate
Yeast,Threonine
Yeast,Tryptophan
Yeast,Tyrosine
Yeast,UDP
Yeast,UDP-glucose
Yeast,UMP
Yeast,UTP
Yeast,Valine
Yeast,alpha-Ketoglutarate
Yeast,cAMP
