species,anchor,seed
E.coli,GTP,0
E.coli,GTP,1
E.coli,GTP,2
E.coli,GTP,3
E.coli,GTP,4
E.coli,GTP,5
E.coli,GTP,6
E.coli,GTP,7
E.coli,GTP,8
E.coli,GTP,9
E.coli,GTP,10
E.coli,GTP,11
E.coli,GTP,12
E.coli,GTP,13
E.coli,GTP,14
E.coli,GTP,15
E.coli,GTP,16
E.coli,GTP,17
E.coli,GTP,18
E.coli,GTP,19
E.coli,GTP,20
E.coli,GTP,21
E.coli,GTP,22
E.coli,GTP,23
E.coli,GTP,24
E.coli,GTP,25
E.coli,GTP,26
E.coli,GTP,27
E.coli,GTP,28
E.coli,GTP,29
E.coli,GTP,30
E.coli,GTP,31
E.coli,GTP,32
E.coli,GTP,33
E.coli,GTP,34
E.coli,GTP,35
E.coli,GTP,36
E.coli,GTP,37
E.coli,GTP,38
E.coli,GTP,39
E.coli,GTP,40
E.coli,GTP,41
E.coli,GTP,42
E.coli,GTP,43
E.coli,GTP,44
E.coli,GTP,45
E.coli,GTP,46
E.coli,GTP,47
E.coli,GTP,48
E.coli,GTP,49
E.coli,GTP,50
E.coli,GTP,51
E.coli,GTP,52
E.coli,GTP,53
E.coli,GTP,54
E.coli,GTP,55
E.coli,GTP,56
E.coli,GTP,57
E.coli,GTP,58
E.coli,GTP,59
E.coli,GTP,60
E.coli,GTP,61
E.coli,GTP,62
E.coli,GTP,63
E.coli,GTP,64
E.coli,GTP,65
E.coli,GTP,66
E.coli,GTP,67
E.coli,GTP,68
E.coli,GTP,69
E.coli,GTP,70
E.coli,GTP,71
E.coli,GTP,72
E.coli,GTP,73
E.coli,GTP,74
E.coli,GTP,75
E.coli,GTP,76
E.coli,GTP,77
E.coli,GTP,78
E.coli,GTP,79
E.coli,GTP,80
E.coli,GTP,81
E.coli,GTP,82
E.coli,GTP,83
E.coli,GTP,84
E.coli,GTP,85
E.coli,GTP,86
E.coli,GTP,87
E.coli,GTP,88
E.coli,GTP,89
E.coli,GTP,90
E.coli,GTP,91
E.coli,GTP,92
E.coli,GTP,93
E.coli,GTP,94
E.coli,GTP,95
E.coli,GTP,96
E.coli,GTP,97
E.coli,GTP,98
E.coli,GTP,99
E.coli,Acetyl-CoA,0
E.coli,Acetyl-CoA,1
E.coli,Acetyl-CoA,2
E.coli,Acetyl-CoA,3
E.coli,Acetyl-CoA,4
E.coli,Acetyl-CoA,5
E.coli,Acetyl-CoA,6
E.coli,Acetyl-CoA,7
E.coli,Acetyl-CoA,8
E.coli,Acetyl-CoA,9
E.coli,Acetyl-CoA,10
E.coli,Acetyl-CoA,11
E.coli,Acetyl-CoA,12
E.coli,Acetyl-CoA,13
E.coli,Acetyl-CoA,14
E.coli,Acetyl-CoA,15
E.coli,Acetyl-CoA,16
E.coli,Acetyl-CoA,17
E.coli,Acetyl-CoA,18
E.coli,Acetyl-CoA,19
E.coli,Acetyl-CoA,20
E.coli,Acetyl-CoA,21
E.coli,Acetyl-CoA,22
E.coli,Acetyl-CoA,23
E.coli,Acetyl-CoA,24
E.coli,Acetyl-CoA,25
E.coli,Acetyl-CoA,26
E.coli,Acetyl-CoA,27
E.coli,Acetyl-CoA,28
E.coli,Acetyl-CoA,29
E.coli,Acetyl-CoA,30
E.coli,Acetyl-CoA,31
E.coli,Acetyl-CoA,32
E.coli,Acetyl-CoA,33
E.coli,Acetyl-CoA,34
E.coli,Acetyl-CoA,35
E.coli,Acetyl-CoA,36
E.coli,Acetyl-CoA,37
E.coli,Acetyl-CoA,38
E.coli,Acetyl-CoA,39
E.coli,Acetyl-CoA,40
E.coli,Acetyl-CoA,41
E.coli,Acetyl-CoA,42
E.coli,Acetyl-CoA,43
E.coli,Acetyl-CoA,44
E.coli,Acetyl-CoA,45
E.coli,Acetyl-CoA,46
E.coli,Acetyl-CoA,47
E.coli,Acetyl-CoA,48
E.coli,Acetyl-CoA,49
E.coli,Acetyl-CoA,50
E.coli,Acetyl-CoA,51
E.coli,Acetyl-CoA,52
E.coli,Acetyl-CoA,53
E.coli,Acetyl-CoA,54
E.coli,Acetyl-CoA,55
E.coli,Acetyl-CoA,56
E.coli,Acetyl-CoA,57
E.coli,Acetyl-CoA,58
E.coli,Acetyl-CoA,59
E.coli,Acetyl-CoA,60
E.coli,Acetyl-CoA,61
E.coli,Acetyl-CoA,62
E.coli,Acetyl-CoA,63
E.coli,Acetyl-CoA,64
E.coli,Acetyl-CoA,65
E.coli,Acetyl-CoA,66
E.coli,Acetyl-CoA,67
E.coli,Acetyl-CoA,68
E.coli,Acetyl-CoA,69
E.coli,Acetyl-CoA,70
E.coli,Acetyl-CoA,71
E.coli,Acetyl-CoA,72
E.coli,Acetyl-CoA,73
E.coli,Acetyl-CoA,74
E.coli,Acetyl-CoA,75
E.coli,Acetyl-CoA,76
E.coli,Acetyl-CoA,77
E.coli,Acetyl-CoA,78
E.coli,Acetyl-CoA,79
E.coli,Acetyl-CoA,80
E.coli,Acetyl-CoA,81
E.coli,Acetyl-CoA,82
E.coli,Acetyl-CoA,83
E.coli,Acetyl-CoA,84
E.coli,Acetyl-CoA,85
E.coli,Acetyl-CoA,86
E.coli,Acetyl-CoA,87
E.coli,Acetyl-CoA,88
E.coli,Acetyl-CoA,89
E.coli,Acetyl-CoA,90
E.coli,Acetyl-CoA,91
E.coli,Acetyl-CoA,92
E.coli,Acetyl-CoA,93
E.coli,Acetyl-CoA,94
E.coli,Acetyl-CoA,95
E.coli,Acetyl-CoA,96
E.coli,Acetyl-CoA,97
E.coli,Acetyl-CoA,98
E.coli,Acetyl-CoA,99
E.coli,ATP,0
E.coli,ATP,1
E.coli,ATP,2
E.coli,ATP,3
E.coli,ATP,4
E.coli,ATP,5
E.coli,ATP,6
E.coli,ATP,7
E.coli,ATP,8
E.coli,ATP,9
E.coli,ATP,10
E.coli,ATP,11
E.coli,ATP,12
E.coli,ATP,13
E.coli,ATP,14
E.coli,ATP,15
E.coli,ATP,16
E.coli,ATP,17
E.coli,ATP,18
E.coli,ATP,19
E.coli,ATP,20
E.coli,ATP,21
E.coli,ATP,22
E.coli,ATP,23
E.coli,ATP,24
E.coli,ATP,25
E.coli,ATP,26
E.coli,ATP,27
E.coli,ATP,28
E.coli,ATP,29
E.coli,ATP,30
E.coli,ATP,31
E.coli,ATP,32
E.coli,ATP,33
E.coli,ATP,34
E.coli,ATP,35
E.coli,ATP,36
E.coli,ATP,37
E.coli,ATP,38
E.coli,ATP,39
E.coli,ATP,40
E.coli,ATP,41
E.coli,ATP,42
E.coli,ATP,43
E.coli,ATP,44
E.coli,ATP,45
E.coli,ATP,46
E.coli,ATP,47
E.coli,ATP,48
E.coli,ATP,49
E.coli,ATP,50
E.coli,ATP,51
E.coli,ATP,52
E.coli,ATP,53
E.coli,ATP,54
E.coli,ATP,55
E.coli,ATP,56
E.coli,ATP,57
E.coli,ATP,58
E.coli,ATP,59
E.coli,ATP,60
E.coli,ATP,61
E.coli,ATP,62
E.coli,ATP,63
E.coli,ATP,64
E.coli,ATP,65
E.coli,ATP,66
E.coli,ATP,67
E.coli,ATP,68
E.coli,ATP,69
E.coli,ATP,70
E.coli,ATP,71
E.coli,ATP,72
E.coli,ATP,73
E.coli,ATP,74
E.coli,ATP,75
E.coli,ATP,76
E.coli,ATP,77
E.coli,ATP,78
E.coli,ATP,79
E.coli,ATP,80
E.coli,ATP,81
E.coli,ATP,82
E.coli,ATP,83
E.coli,ATP,84
E.coli,ATP,85
E.coli,ATP,86
E.coli,ATP,87
E.coli,ATP,88
E.coli,ATP,89
E.coli,ATP,90
E.coli,ATP,91
E.coli,ATP,92
E.coli,ATP,93
E.coli,ATP,94
E.coli,ATP,95
E.coli,ATP,96
E.coli,ATP,97
E.coli,ATP,98
E.coli,ATP,99
Mammalian,GTP,0
Mammalian,GTP,1
Mammalian,GTP,2
Mammalian,GTP,3
Mammalian,GTP,4
Mammalian,GTP,5
Mammalian,GTP,6
Mammalian,GTP,7
Mammalian,GTP,8
Mammalian,GTP,9
Mammalian,GTP,10
Mammalian,GTP,11
Mammalian,GTP,12
Mammalian,GTP,13
Mammalian,GTP,14
Mammalian,GTP,15
Mammalian,GTP,16
Mammalian,GTP,17
