species,anchor,sigma,seed
E.coli,GTP,0.5,0
E.coli,GTP,0.5,1
E.coli,GTP,0.5,2
E.coli,GTP,0.5,3
E.coli,GTP,0.5,4
E.coli,GTP,1.0,0
E.coli,GTP,1.0,1
E.coli,GTP,1.0,2
E.coli,GTP,1.0,3
E.coli,GTP,1.0,4
E.coli,GTP,2.0,0
E.coli,GTP,2.0,1
E.coli,GTP,2.0,2
E.coli,GTP,2.0,3
E.coli,GTP,2.0,4
E.coli,GTP,3.0,0
E.coli,GTP,3.0,1
E.coli,GTP,3.0,2
E.coli,GTP,3.0,3
E.coli,GTP,3.0,4
E.coli,GTP,4.0,0
E.coli,GTP,4.0,1
E.coli,GTP,4.0,2
E.coli,GTP,4.0,3
E.coli,GTP,4.0,4
E.coli,GTP,5.0,0
E.coli,GTP,5.0,1
E.coli,GTP,5.0,2
E.coli,GTP,5.0,3
E.coli,GTP,5.0,4
E.coli,Acetyl-CoA,0.5,0
E.coli,Acetyl-CoA,0.5,1
E.coli,Acetyl-CoA,0.5,2
E.coli,Acetyl-CoA,0.5,3
E.coli,Acetyl-CoA,0.5,4
E.coli,Acetyl-CoA,1.0,0
E.coli,Acetyl-CoA,1.0,1
E.coli,Acetyl-CoA,1.0,2
E.coli,Acetyl-CoA,1.0,3
E.coli,Acetyl-CoA,1.0,4
E.coli,Acetyl-CoA,2.0,0
E.coli,Acetyl-CoA,2.0,1
E.coli,Acetyl-CoA,2.0,2
E.coli,Acetyl-CoA,2.0,3
E.coli,Acetyl-CoA,2.0,4
E.coli,Acetyl-CoA,3.0,0
E.coli,Acetyl-CoA,3.0,1
E.coli,Acetyl-CoA,3.0,2
E.coli,Acetyl-CoA,3.0,3
E.coli,Acetyl-CoA,3.0,4
E.coli,Acetyl-CoA,4.0,0
E.coli,Acetyl-CoA,4.0,1
E.coli,Acetyl-CoA,4.0,2
E.coli,Acetyl-CoA,4.0,3
E.coli,Acetyl-CoA,4.0,4
E.coli,Acetyl-CoA,5.0,0
E.coli,Acetyl-CoA,5.0,1
E.coli,Acetyl-CoA,5.0,2
E.coli,Acetyl-CoA,5.0,3
E.coli,Acetyl-CoA,5.0,4
E.coli,ATP,0.5,0
E.coli,ATP,0.5,1
E.coli,ATP,0.5,2
E.coli,ATP,0.5,3
E.coli,ATP,0.5,4
E.coli,ATP,1.0,0
E.coli,ATP,1.0,1
E.coli,ATP,1.0,2
E.coli,ATP,1.0,3
E.coli,ATP,1.0,4
E.coli,ATP,2.0,0
E.coli,ATP,2.0,1
E.coli,ATP,2.0,2
E.coli,ATP,2.0,3
E.coli,ATP,2.0,4
E.coli,ATP,3.0,0
E.coli,ATP,3.0,1
E.coli,ATP,3.0,2
E.coli,ATP,3.0,3
E.coli,ATP,3.0,4
E.coli,ATP,4.0,0
E.coli,ATP,4.0,1
E.coli,ATP,4.0,2
E.coli,ATP,4.0,3
E.coli,ATP,4.0,4
E.coli,ATP,5.0,0
E.coli,ATP,5.0,1
E.coli,ATP,5.0,2
E.coli,ATP,5.0,3
E.coli,ATP,5.0,4
Mammalian,GTP,0.5,0
Mammalian,GTP,0.5,1
Mammalian,GTP,0.5,2
Mammalian,GTP,0.5,3
Mammalian,GTP,0.5,4
Mammalian,GTP,1.0,0
Mammalian,GTP,1.0,1
Mammalian,GTP,1.0,2
Mammalian,GTP,1.0,3
Mammalian,GTP,1.0,4
Mammalian,GTP,2.0,0
Mammalian,GTP,2.0,1
Mammalian,GTP,2.0,2
Mammalian,GTP,2.0,3
Mammalian,GTP,2.0,4
Mammalian,GTP,3.0,0
Mammalian,GTP,3.0,1
Mammalian,GTP,3.0,2
Mammalian,GTP,3.0,3
Mammalian,GTP,3.0,4
Mammalian,GTP,4.0,0
Mammalian,GTP,4.0,1
Mammalian,GTP,4.0,2
Mammalian,GTP,4.0,3
Mammalian,GTP,4.0,4
Mammalian,GTP,5.0,0
Mammalian,GTP,5.0,1
Mammalian,GTP,5.0,2
Mammalian,GTP,5.0,3
Mammalian,GTP,5.0,4
Mammalian,Acetyl-CoA,0.5,0
Mammalian,Acetyl-CoA,0.5,1
Mammalian,Acetyl-CoA,0.5,2
Mammalian,Acetyl-CoA,0.5,3
Mammalian,Acetyl-CoA,0.5,4
Mammalian,Acetyl-CoA,1.0,0
Mammalian,Acetyl-CoA,1.0,1
Mammalian,Acetyl-CoA,1.0,2
Mammalian,Acetyl-CoA,1.0,3
Mammalian,Acetyl-CoA,1.0,4
Mammalian,Acetyl-CoA,2.0,0
Mammalian,Acetyl-CoA,2.0,1
Mammalian,Acetyl-CoA,2.0,2
Mammalian,Acetyl-CoA,2.0,3
Mammalian,Acetyl-CoA,2.0,4
Mammalian,Acetyl-CoA,3.0,0
Mammalian,Acetyl-CoA,3.0,1
Mammalian,Acetyl-CoA,3.0,2
Mammalian,Acetyl-CoA,3.0,3
Mammalian,Acetyl-CoA,3.0,4
Mammalian,Acetyl-CoA,4.0,0
Mammalian,Acetyl-CoA,4.0,1
Mammalian,Acetyl-CoA,4.0,2
Mammalian,Acetyl-CoA,4.0,3
Mammalian,Acetyl-CoA,4.0,4
Mammalian,Acetyl-CoA,5.0,0
Mammalian,Acetyl-CoA,5.0,1
Mammalian,Acetyl-CoA,5.0,2
Mammalian,Acetyl-CoA,5.0,3
Mammalian,Acetyl-CoA,5.0,4
Mammalian,ATP,0.5,0
Mammalian,ATP,0.5,1
Mammalian,ATP,0.5,2
Mammalian,ATP,0.5,3
Mammalian,ATP,0.5,4
Mammalian,ATP,1.0,0
Mammalian,ATP,1.0,1
Mammalian,ATP,1.0,2
Mammalian,ATP,1.0,3
Mammalian,ATP,1.0,4
Mammalian,ATP,2.0,0
Mammalian,ATP,2.0,1
Mammalian,ATP,2.0,2
Mammalian,ATP,2.0,3
Mammalian,ATP,2.0,4
Mammalian,ATP,3.0,0
Mammalian,ATP,3.0,1
Mammalian,ATP,3.0,2
Mammalian,ATP,3.0,3
Mammalian,ATP,3.0,4
Mammalian,ATP,4.0,0
Mammalian,ATP,4.0,1
Mammalian,ATP,4.0,2
Mammalian,ATP,4.0,3
Mammalian,ATP,4.0,4
Mammalian,ATP,5.0,0
Mammalian,ATP,5.0,1
Mammalian,ATP,5.0,2
Mammalian,ATP,5.0,3
Mammalian,ATP,5.0,4
Yeast,GTP,0.5,0
Yeast,GTP,0.5,1
Yeast,GTP,0.5,2
Yeast,GTP,0.5,3
Yeast,GTP,0.5,4
Yeast,GTP,1.0,0
Yeast,GTP,1.0,1
Yeast,GTP,1.0,2
Yeast,GTP,1.0,3
Yeast,GTP,1.0,4
Yeast,GTP,2.0,0
Yeast,GTP,2.0,1
Yeast,GTP,2.0,2
Yeast,GTP,2.0,3
Yeast,GTP,2.0,4
Yeast,GTP,3.0,0
Yeast,GTP,3.0,1
Yeast,GTP,3.0,2
Yeast,GTP,3.0,3
Yeast,GTP,3.0,4
Yeast,GTP,4.0,0
Yeast,GTP,4.0,1
Yeast,GTP,4.0,2
Yeast,GTP,4.0,3
Yeast,GTP,4.0,4
Yeast,GTP,5.0,0
Yeast,GTP,5.0,1
Yeast,GTP,5.0,2
Yeast,GTP,5.0,3
Yeast,GTP,5.0,4
Yeast,Acetyl-CoA,0.5,0
Yeast,Acetyl-CoA,0.5,1
Yeast,Acetyl-CoA,0.5,2
Yeast,Acetyl-CoA,0.5,3
Yeast,Acetyl-CoA,0.5,4
Yeast,Acetyl-CoA,1.0,0
Yeast,Acetyl-CoA,1.0,1
Yeast,Acetyl-CoA,1.0,2
Yeast,Acetyl-CoA,1.0,3
Yeast,Acetyl-CoA,1.0,4
Yeast,Acetyl-CoA,2.0,0
Yeast,Acetyl-CoA,2.0,1
Yeast,Acetyl-CoA,2.0,2
Yeast,Acetyl-CoA,2.0,3
Yeast,Acetyl-CoA,2.0,4
Yeast,Acetyl-CoA,3.0,0
Yeast,Acetyl-CoA,3.0,1
Yeast,Acetyl-CoA,3.0,2
Yeast,Acetyl-CoA,3.0,3
Yeast,Acetyl-CoA,3.0,4
Yeast,Acetyl-CoA,4.0,0
Yeast,Acetyl-CoA,4.0,1
Yeast,Acetyl-CoA,4.0,2
Yeast,Acetyl-CoA,4.0,3
Yeast,Acetyl-CoA,4.0,4
Yeast,Acetyl-CoA,5.0,0
Yeast,Acetyl-CoA,5.0,1
Yeast,Acetyl-CoA,5.0,2
Yeast,Acetyl-CoA,5.0,3
Yeast,Acetyl-CoA,5.0,4
Yeast,ATP,0.5,0
Yeast,ATP,0.5,1
Yeast,ATP,0.5,2
Yeast,ATP,0.5,3
Yeast,ATP,0.5,4
Yeast,ATP,1.0,0
Yeast,ATP,1.0,1
Yeast,ATP,1.0,2
Yeast,ATP,1.0,3
Yeast,ATP,1.0,4
Yeast,ATP,2.0,0
Yeast,ATP,2.0,1
Yeast,ATP,2.0,2
Yeast,ATP,2.0,3
Yeast,ATP,2.0,4
Yeast,ATP,3.0,0
Yeast,ATP,3.0,1
Yeast,ATP,3.0,2
Yeast,ATP,3.0,3
Yeast,ATP,3.0,4
Yeast,ATP,4.0,0
Yeast,ATP,4.0,1
Yeast,ATP,4.0,2
Yeast,ATP,4.0,3
Yeast,ATP,4.0,4
Yeast,ATP,5.0,0
Yeast,ATP,5.0,1
Yeast,ATP,5.0,2
Yeast,ATP,5.0,3
Yeast,ATP,5.0,4
